epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3426,0.3411,89.2600,0.0000,0.0000,36.36
1,0.3400,0.3411,89.2600,0.0000,0.0000,35.99
2,0.3200,0.2848,91.5100,0.8763,0.2439,36.69
3,0.2847,0.2772,91.6400,0.9837,0.2253,36.39
4,0.2793,0.2752,91.6900,0.9483,0.2393,37.29
5,0.2766,0.2740,91.7800,0.9599,0.2449,36.89
6,0.2748,0.2727,91.8400,0.9743,0.2467,37.47
7,0.2746,0.2728,91.8100,0.9443,0.2523,37.09
8,0.2739,0.2727,91.8300,0.9509,0.2523,37.27
9,0.2752,0.2728,91.8100,0.9505,0.2505,37.22
10,0.2741,0.2727,91.8300,0.9509,0.2523,37.56
11,0.2732,0.2728,91.8300,0.9509,0.2523,37.72
12,0.2736,0.2729,91.8800,0.9679,0.2523,38.40
13,0.2737,0.2731,91.8100,0.9603,0.2477,37.85
14,0.2731,0.2727,91.8300,1.0000,0.2393,37.90
15,0.2726,0.2726,91.8300,0.9509,0.2523,37.42
16,0.2727,0.2724,91.8300,0.9509,0.2523,668.91
17,0.2726,0.2724,91.8300,0.9509,0.2523,113.82
18,0.2725,0.2725,91.8300,0.9509,0.2523,37.46
19,0.2724,0.2725,91.8300,1.0000,0.2393,36.07
20,0.2726,0.2724,91.8300,0.9509,0.2523,43.13
21,0.2722,0.2725,91.8800,0.9781,0.2495,40.62
22,0.2721,0.2725,91.8300,0.9509,0.2523,39.35
