epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3371,0.3300,89.1100,0.0000,0.0000,8.84
1,0.3257,0.3284,89.1100,0.0000,0.0000,9.21
2,0.3250,0.3262,89.1100,0.0000,0.0000,9.03
3,0.2939,0.2786,91.6800,0.9639,0.2452,9.06
4,0.2774,0.2778,91.6500,0.9349,0.2507,9.37
5,0.2758,0.2769,91.7200,0.9644,0.2489,9.28
6,0.2748,0.2775,91.7100,0.9887,0.2415,9.22
7,0.2740,0.2763,91.7000,0.9642,0.2470,9.86
8,0.2733,0.2760,91.6800,1.0000,0.2360,10.43
9,0.2730,0.2759,91.7100,0.9887,0.2415,9.73
10,0.2729,0.2758,91.6900,0.9574,0.2479,9.31
11,0.2727,0.2758,91.7100,0.9643,0.2479,9.60
12,0.2730,0.2765,91.6900,0.9542,0.2489,9.54
13,0.2727,0.2762,91.6900,1.0000,0.2369,9.92
14,0.2724,0.2757,91.6900,0.9886,0.2397,9.83
15,0.2719,0.2761,91.6900,0.9886,0.2397,9.70
16,0.2717,0.2762,91.7000,0.9576,0.2489,9.68
17,0.2716,0.2758,91.6700,0.9961,0.2360,9.55
18,0.2718,0.2755,91.6900,0.9850,0.2406,9.83
19,0.2716,0.2759,91.6800,0.9509,0.2489,9.84
20,0.2716,0.2759,91.6900,0.9924,0.2388,9.82
21,0.2716,0.2758,91.6800,0.9961,0.2369,9.72
22,0.2716,0.2755,91.7000,0.9576,0.2489,9.73
23,0.2713,0.2756,91.6900,0.9574,0.2479,9.86
24,0.2713,0.2757,91.6900,0.9574,0.2479,9.76
25,0.2712,0.2758,91.7100,0.9610,0.2489,9.43
26,0.2713,0.2756,91.6900,0.9574,0.2479,9.79
27,0.2711,0.2756,91.7100,0.9643,0.2479,9.57
