epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3425,0.3417,89.2300,0.0000,0.0000,36.72
1,0.3315,0.3273,89.2300,0.0000,0.0000,95.77
2,0.3260,0.3270,89.2300,0.0000,0.0000,35.25
3,0.3260,0.3270,89.2300,0.0000,0.0000,37.34
4,0.3260,0.3276,89.2300,0.0000,0.0000,39.82
5,0.3255,0.3263,89.2300,0.0000,0.0000,39.17
6,0.3250,0.3252,89.2300,0.0000,0.0000,58.02
7,0.3240,0.3250,89.2300,0.0000,0.0000,40.30
8,0.3238,0.3249,89.2300,0.0000,0.0000,38.54
9,0.3236,0.3247,89.2300,0.0000,0.0000,38.64
10,0.3235,0.3245,89.2300,0.0000,0.0000,38.21
11,0.3237,0.3248,89.2300,0.0000,0.0000,38.48
12,0.3234,0.3243,89.2300,0.0000,0.0000,37.22
13,0.3229,0.3229,89.0700,0.4310,0.0464,36.98
14,0.3102,0.2995,90.2600,1.0000,0.0956,36.77
15,0.2886,0.2801,91.6500,1.0000,0.2247,36.77
16,0.2774,0.2740,91.7900,0.9961,0.2386,36.16
17,0.2740,0.2736,91.7600,0.9567,0.2461,36.79
18,0.2735,0.2729,91.8200,0.9887,0.2433,36.56
19,0.2730,0.2729,91.8000,1.0000,0.2386,37.56
20,0.2725,0.2733,91.7400,0.9772,0.2386,37.37
21,0.2732,0.2733,91.7700,0.9601,0.2461,37.17
22,0.2719,0.2729,91.8000,1.0000,0.2386,39.06
23,0.2712,0.2729,91.8000,1.0000,0.2386,37.74
24,0.2711,0.2729,91.8000,1.0000,0.2386,37.18
25,0.2712,0.2732,91.8000,1.0000,0.2386,37.50
26,0.2713,0.2736,91.8000,1.0000,0.2386,36.89
27,0.2712,0.2730,91.8000,1.0000,0.2386,37.93
28,0.2709,0.2730,91.7800,0.9670,0.2451,37.72
