epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3352,0.3323,88.9600,0.0000,0.0000,8.96
1,0.3155,0.2967,90.9100,0.9221,0.1929,9.10
2,0.2892,0.2912,91.1000,0.9315,0.2092,9.78
3,0.2845,0.2836,91.4000,0.9959,0.2219,9.51
4,0.2781,0.2810,91.5400,0.9813,0.2382,9.24
5,0.2769,0.2814,91.5800,0.9645,0.2464,9.29
6,0.2767,0.2842,91.3900,0.9802,0.2246,9.26
7,0.2771,0.2808,91.5700,0.9579,0.2473,9.32
8,0.2761,0.2809,91.5000,0.9739,0.2364,9.44
9,0.2758,0.2807,91.5200,0.9885,0.2346,9.19
10,0.2757,0.2814,91.5300,1.0000,0.2328,9.10
11,0.2758,0.2807,91.5800,0.9580,0.2482,9.33
12,0.2756,0.2805,91.5700,0.9711,0.2437,9.30
13,0.2752,0.2808,91.5800,0.9645,0.2464,9.44
14,0.2753,0.2808,91.5500,0.9850,0.2382,9.26
15,0.2752,0.2812,91.5500,0.9609,0.2446,9.32
16,0.2752,0.2808,91.5300,1.0000,0.2328,9.42
17,0.2745,0.2805,91.5300,1.0000,0.2328,9.54
18,0.2746,0.2807,91.5400,1.0000,0.2337,9.41
19,0.2746,0.2809,91.5500,0.9609,0.2446,9.43
20,0.2743,0.2804,91.5700,0.9579,0.2473,9.45
21,0.2745,0.2806,91.5700,0.9611,0.2464,9.41
22,0.2745,0.2805,91.5200,0.9961,0.2328,9.51
23,0.2742,0.2805,91.5600,0.9643,0.2446,9.52
24,0.2742,0.2806,91.5700,0.9579,0.2473,9.58
25,0.2740,0.2803,91.5700,0.9579,0.2473,9.47
26,0.2739,0.2804,91.5700,0.9579,0.2473,9.57
27,0.2738,0.2807,91.5700,0.9579,0.2473,9.48
28,0.2738,0.2803,91.5700,0.9579,0.2473,9.59
29,0.2738,0.2804,91.5700,0.9579,0.2473,9.54
30,0.2735,0.2804,91.5700,0.9579,0.2473,9.63
