epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3439,0.3160,89.1300,0.0000,0.0000,8.76
1,0.2918,0.2822,91.4100,1.0000,0.2098,8.89
2,0.2797,0.2768,91.7300,0.9745,0.2456,8.75
3,0.2774,0.2768,91.7500,0.9852,0.2447,8.79
4,0.2767,0.2759,91.7000,0.9886,0.2392,8.83
5,0.2766,0.2760,91.7200,0.9744,0.2447,9.17
6,0.2759,0.2759,91.7300,0.9815,0.2438,9.13
7,0.2757,0.2761,91.7000,1.0000,0.2364,9.36
8,0.2757,0.2775,91.6400,0.9736,0.2374,9.30
9,0.2755,0.2765,91.6900,1.0000,0.2355,9.19
10,0.2754,0.2756,91.7400,1.0000,0.2401,9.74
11,0.2752,0.2758,91.7100,0.9674,0.2456,10.27
12,0.2752,0.2763,91.7100,0.9886,0.2401,7.95
13,0.2751,0.2756,91.7300,0.9710,0.2466,1808.90
14,0.2751,0.2757,91.7100,0.9886,0.2401,39.55
15,0.2750,0.2756,91.7100,0.9924,0.2392,44.19
16,0.2750,0.2761,91.7000,0.9673,0.2447,69.51
17,0.2748,0.2758,91.7100,0.9886,0.2401,69.86
18,0.2740,0.2758,91.7000,1.0000,0.2364,76.09
19,0.2737,0.2758,91.7100,1.0000,0.2374,40.31
20,0.2737,0.2756,91.7000,1.0000,0.2364,54.84
