epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3440,0.3432,89.0500,0.0000,0.0000,202.19
1,0.3286,0.3329,89.0500,0.0000,0.0000,183.86
2,0.3271,0.3318,89.0500,0.0000,0.0000,163.59
3,0.3270,0.3318,89.0500,0.0000,0.0000,219.45
4,0.3265,0.3311,89.0500,0.0000,0.0000,176.66
5,0.3261,0.3307,89.0500,0.0000,0.0000,195.39
6,0.3261,0.3307,89.0500,0.0000,0.0000,202.72
7,0.3262,0.3308,89.0500,0.0000,0.0000,159.52
8,0.3262,0.3306,89.0500,0.0000,0.0000,188.90
9,0.3256,0.3291,89.0500,0.0000,0.0000,176.29
10,0.3252,0.3306,89.0500,0.0000,0.0000,156.12
11,0.3246,0.3290,89.0500,0.0000,0.0000,212.01
12,0.3247,0.3290,89.0500,0.0000,0.0000,161.06
13,0.3245,0.3291,89.0500,0.0000,0.0000,180.55
14,0.3244,0.3290,89.0500,0.0000,0.0000,195.78
15,0.3244,0.3299,89.0500,0.0000,0.0000,159.93
16,0.3242,0.3290,89.0500,0.0000,0.0000,189.91
17,0.3231,0.3196,89.0500,0.5000,0.0009,189.86
18,0.3028,0.2879,91.1900,0.8963,0.2210,164.00
19,0.2829,0.2807,91.4700,1.0000,0.2210,198.92
20,0.2784,0.2798,91.4600,1.0000,0.2201,176.80
21,0.2753,0.2770,91.6200,1.0000,0.2347,163.80
22,0.2748,0.2769,91.6200,1.0000,0.2347,301.28
23,0.2738,0.2768,91.6400,0.9544,0.2484,1044.41
24,0.2732,0.2770,91.6200,1.0000,0.2347,193.35
25,0.2737,0.2769,91.6400,0.9544,0.2484,163.30
26,0.2748,0.2771,91.6300,0.9607,0.2457,179.02
27,0.2728,0.2768,91.6200,1.0000,0.2347,203.97
28,0.2722,0.2769,91.6700,0.9746,0.2457,162.60
