epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3404,0.3396,89.3300,0.0000,0.0000,37.61
1,0.3331,0.3260,89.3300,0.0000,0.0000,40.40
2,0.3227,0.3179,89.3300,0.0000,0.0000,44.55
3,0.2980,0.2767,91.7700,0.9880,0.2315,39.24
4,0.2815,0.2756,91.7400,0.9879,0.2287,38.26
5,0.2794,0.2762,91.7200,0.9442,0.2381,37.37
6,0.2787,0.2753,91.7600,1.0000,0.2277,37.99
7,0.2780,0.2752,91.7600,1.0000,0.2277,37.34
8,0.2781,0.2756,91.7500,1.0000,0.2268,37.17
9,0.2772,0.2777,91.6600,0.9957,0.2193,36.81
10,0.2773,0.2750,91.7900,0.9659,0.2390,41.77
11,0.2766,0.2751,91.7600,0.9585,0.2381,39.09
12,0.2784,0.2751,91.7700,0.9959,0.2296,43.28
13,0.2769,0.2753,91.7900,0.9805,0.2352,40.79
14,0.2772,0.2751,91.7900,1.0000,0.2306,37.80
15,0.2757,0.2748,91.7900,0.9731,0.2371,40.05
16,0.2756,0.2750,91.7600,1.0000,0.2277,36.53
17,0.2755,0.2751,91.7800,0.9520,0.2418,37.25
18,0.2755,0.2750,91.7600,1.0000,0.2277,38.33
19,0.2756,0.2749,91.7600,1.0000,0.2277,37.32
20,0.2752,0.2749,91.7600,1.0000,0.2277,36.44
